Material,Preu,Volume_minor_unit,quantity_minor_units,volume_unit,Price_liter
AK DAMM 1/3 SIN RETORNO,28,0.33,24,8,3.5
AK DAMM 1/3 SR PACK CESTA ABIERTA 2X3,56,0.33,48,16,3.5
AK DAMM SR (CAJA),35,0.33,24,8,4.375
BOCK DAMM BARRIL 20L.,50,20.00,1,20,2.5
BOCK DAMM RT (BARRIL),47,20.00,1,20,2.35
BOCK DAMM RT (CAJA),4,0.33,4,1.333333333,3
BOCK-DAMM 1/3 LATA LC,5,0.33,4,1.333333333,3.75
BOCK-DAMM 1/3 RET.,4,0.33,4,1.333333333,3
BOCK-DAMM 1/4 CESTA ABIERTA 2X3,12,0.33,12,4,3
BOCK-DAMM 1/4 PACK 6U.,6,0.33,6,2,3
BOCK-DAMM BARRIL 30,55,30.00,1,30,1.833333333
COMPLOT 1/3 LATA LC,36,0.33,24,8,4.5
COMPLOT 1/3 SR PACK CESTA 2X3,70,0.33,48,16,4.375
COMPLOT BARRIL 20L.,63,20.00,1,20,3.15
DAMM BIER RT (BARRIL),50,50.00,1,50,1
DAMM GENERAL,50,50.00,1,50,1
DAMM LEMON 1/3 LATA LC,18,0.33,24,8,2.25
DAMM LEMON 1/3 RET,15,0.33,24,8,1.875
DAMM LEMON 1/3 SR CAJA 24U.,22,0.33,24,8,2.75
DAMM LEMON 1/4 PACK 6U.,5,0.33,6,2,2.5
DAMM LEMON 1/5 RET,15,0.33,24,8,1.875
DAMM LEMON BARRIL 20L.,55,20.00,1,20,2.75
DAMM LEMON BARRIL 30,60,30.00,1,30,2
DAMM LEMON RT (BARRIL),55,20.00,1,20,2.75
DAMM LEMON SR (CAJA),24,0.33,24,8,3
DAMM RESERVA NAVIDAD 1/3 SR CAJA 24U.,44,0.33,24,8,5.5
DAMM RT (BARRIL),50,20.00,1,20,2.5
DAMM RT (CAJA),3,0.33,4,1.333333333,2.25
DAMM SR (CAJA),4,0.33,4,1.333333333,3
DAMM-NM RT (BARRIL),52,20.00,1,20,2.6
DAMM-NM RT (CAJA),11,0.33,12,4,2.75
DAURA DAMM 1/3 SR PACK CESTA ABIERTA 2X3,15,0.33,24,8,1.875
DAURA DAMM 1/3SR CAJA 6 PACKS 2X2 INTL.,14,0.33,12,4,3.5
DAURA MARZEN 1/3SR CESTA ABIERTA 2X3,18,0.33,12,4,4.5
DAURA SHANDY 1/3 SR PACK CESTA AB. 2X3,52,0.33,24,8,6.5
EQUILATER 1/3SR CAJA 12U.,50,0.33,12,4,12.5
ESTRELLA DAMM 1/2 LATA N,7,0.50,6,3,2.333333333
ESTRELLA DAMM 1/3,4,0.33,6,2,2
ESTRELLA DAMM 1/3 LATA,4,0.33,6,2,2
ESTRELLA DAMM 1/3 LN,4,0.33,6,2,2
ESTRELLA DAMM 1/3 RET CATALUNYA,4,0.33,6,2,2
ESTRELLA DAMM 1/3 RET. CATALUNYA PP,4,0.33,6,2,2
ESTRELLA DAMM 1/3 RET. PP,4,0.33,6,2,2
ESTRELLA DAMM 1/3 SIN RETORNO,6,0.33,6,2,3
ESTRELLA DAMM 1/3 SR CESTA 2X3,8,0.33,12,4,2
ESTRELLA DAMM 1/3 SR PACK 4U.,10,0.33,12,4,2.5
ESTRELLA DAMM 1/3 SR PACK-4,10,0.33,12,4,2.5
ESTRELLA DAMM 1/4 CESTA ABIERTA 2X3,8,0.33,12,4,2
ESTRELLA DAMM 1/4 PACK 6U.,11,0.33,12,4,2.75
ESTRELLA DAMM 1/5 LN,3,0.33,4,1.333333333,2.25
ESTRELLA DAMM 1/5 RET. PP,3,0.33,4,1.333333333,2.25
ESTRELLA DAMM BARRIL 30.,50,30.00,1,30,1.666666667
ESTRELLA DAMM BARRIL 50,60,50.00,1,50,1.2
ESTRELLA DAMM DAURA 1/3 SR P-4U,7,0.33,4,1.333333333,5.25
ESTRELLA DAMM INEDIT 1/2 SR CAJA 12U.,16,0.33,12,4,4
ESTRELLA DAMM RT (BARRIL),50,30.00,1,30,1.666666667
ESTRELLA DAMM RT (CAJA),4,0.33,6,2,2
ESTRELLA DAMM SR (CAJA),6,0.33,6,2,3
FREE DAMM 1/3 LATA LC,6,0.33,6,2,3
FREE DAMM 1/3 RET.,8,0.33,12,4,2
FREE DAMM 1/3 RET. PP,8,0.33,12,4,2
FREE DAMM 1/4 PACK 6U.,7,0.25,12,3,2.333333333
FREE DAMM 1/5 LN RET.,5,0.20,12,2.4,2.083333333
FREE DAMM 1/5 RET. PP,5,0.20,12,2.4,2.083333333
FREE DAMM BARRIL 20L.,52,20.00,1,20,2.6
FREE DAMM BARRIL 30L.,62,30.00,1,30,2.066666667
FREE DAMM LIMON 1/3 LATA,6,0.33,6,2,3
FREE DAMM LIMON 1/3 RET. PP,7,0.33,6,2,3.5
FREE DAMM LIMON 1/4 SR PACK 2X3,12,0.25,12,3,4
FREE DAMM LIMON 1/5 RET.,8,0.20,12,2.4,3.333333333
FREE DAMM RT (BARRIL),51,20.00,1,20,2.55
FREE DAMM RT (CAJA),16,0.33,24,8,2
FREE DAMM SR (CAJA),18,0.33,24,8,2.25
FREE DAMM TOSTADA 1/3 RET. PP,18,0.33,24,8,2.25
GRUPO DAMM CERVEZA GENERAL,50,20.00,1,20,2.5
GRUPO DAMM CERVEZA RT ( BARRIL ),50,20.00,1,20,2.5
GRUPO DAMM CERVEZA RT ( CAJA),4,0.33,6,2,2
GRUPO DAMM CERVEZA SR,6,0.33,6,2,3
INEDIT DAMM 1/3 SR CESTA ABIERTA 2X3,16,0.33,12,4,4
INEDIT DAMM 3/4 SR CAJA 12U.,18,0.33,12,4,4.5
INEDIT DAMM BARRIL 20L,60,20.00,1,20,3
SAAZ DAMM 1/3 SR CAJA 24U.,14,0.33,24,8,1.75
SAAZ DAMM 1/3 SR PACK CESTA ABIERTA 2X3,28,0.33,48,16,1.75
SAAZ DAMM 1/3 SR CESTA AB.2X3 P.HT,30,0.33,48,16,1.875
