"","Material","Freq"
"1","AGUA PIRINEA 1/2 GAS RET.",551
"2","AGUA PIRINEA 1/3 GAS RET",578
"3","AGUA VERI 1/1 PET CAJA 12U. TREKKING",14
"4","AGUA VERI 1/1 VIDRIO RET.",502
"5","AGUA VERI 1/2 GAS VIDRIO RET.",151
"6","AGUA VERI 1/2 PET CAJA 24U.",1174
"7","AGUA VERI 1/2 VIDRIO RET.",631
"8","AGUA VERI 1/3 GAS VIDRIO RET.",156
"9","AGUA VERI 1/3 PET CAJA 35U.",1062
"10","AGUA VERI 1/3 VIDRIO RET.",282
"11","AGUA VERI 15L PET CAJA 12U.",1502
"12","AGUA VERI 5/1 CAJA 3U.",10
"13","AGUA VERI PLAST.15 LT. PACK 6",73
"14","AK DAMM 1/3 SIN RETORNO",1248
"15","AK DAMM 1/3 SR PACK CESTA ABIERTA 2X3",44
"16","AK DAMM SR (CAJA)",4
"17","BOCK-DAMM 1/3 LATA LC",1
"18","BOCK-DAMM 1/3 RET.",703
"19","BOCK-DAMM 1/4 CESTA ABIERTA 2X3",16
"20","BOCK-DAMM 1/4 PACK 6U.",15
"21","BOCK-DAMM BARRIL 30",234
"22","BOCK DAMM BARRIL 20L.",181
"23","BOCK DAMM RT (BARRIL)",8
"24","BOCK DAMM RT (CAJA)",2
"25","BROOKLYN 355CL CESTA 6U.",53
"26","BROOKLYN BARRIL 20L.",1
"27","BROOKLYN LAGER BARRIL 20L SR",16
"28","BROOKLYN LAGER BARRIL 20L SR IMPORTADO",1
"29","BUDWEISER 1/3 LATA",10
"30","BUDWEISER 1/3 RET.",625
"31","BUDWEISER 1/3 SR",86
"32","BUDWEISER 1/4 PACK 6U.",20
"33","BUDWEISER BARRIL 30 LITROS",146
"34","BUDWEISER GENERAL",2
"35","BUDWEISER RT (BARRIL)",4
"36","BUDWEISER SR (CAJA)",7
"37","CALATRAVA 1/3 RET.",466
"38","CALATRAVA 1/5 RET.",114
"39","CALATRAVA BARRIL 30L.",158
"40","CALATRAVA PILSEN 1/3 RET.",274
"41","CALATRAVA PILSEN 1/5 RET.",198
"42","CALATRAVA PILSEN BARRIL 30L.",183
"43","CARLING BARRIL 30L. RET.",74
"44","CARLSBERG 1/3 SR CAJA 24U.",75
"45","CARLSBERG BARRIL 30",90
"46","CERVEZA ESTRELLA 13P TANQUE CERVEZA",225
"47","CERVEZA KELER 14P TANQUE CERVEZA",12
"48","CERVEZA L. CLASICA 116P TANQUE CERVEZA",35
"49","CERVEZA VICTORIA 116P TANQUE CERVEZA",65
"50","COMPLOT 1/3 LATA LC",1
"51","COMPLOT 1/3 SR PACK CESTA 2X3",535
"52","COMPLOT BARRIL 20L.",207
"53","DAMM-NM RT (BARRIL)",2
"54","DAMM-NM RT (CAJA)",2
"55","DAMM BIER RT (BARRIL)",2
"56","DAMM GENERAL",1403
"57","DAMM LEMON 1/3 LATA LC",26
"58","DAMM LEMON 1/3 RET",2078
"59","DAMM LEMON 1/3 SR CAJA 24U.",328
"60","DAMM LEMON 1/4 PACK 6U.",1
"61","DAMM LEMON 1/5 RET",40
"62","DAMM LEMON BARRIL 20L.",2285
"63","DAMM LEMON BARRIL 30",3887
"64","DAMM LEMON RT (BARRIL)",19
"65","DAMM LEMON SR (CAJA)",1
"66","DAMM RESERVA NAVIDAD 1/3 SR CAJA 24U.",1
"67","DAMM RT (BARRIL)",197
"68","DAMM RT (CAJA)",180
